Date,Strategy,Ticker,Weight
2020-11-02,Minimum Variance,PG,0.209423
2020-11-02,Minimum Variance,XOM,0.0
2020-11-02,Minimum Variance,CAT,0.0
2020-11-02,Minimum Variance,AMZN,0.199276
2020-11-02,Minimum Variance,BRK-B,0.184882
2020-11-02,Minimum Variance,LLY,0.044553
2020-11-02,Minimum Variance,NEE,0.0
2020-12-01,Minimum Variance,AAPL,0.0
2020-12-01,Minimum Variance,MSFT,0.0
2020-12-01,Minimum Variance,GOOGL,0.0
2020-12-01,Minimum Variance,JPM,0.0
2020-12-01,Minimum Variance,JNJ,0.371135
2020-12-01,Minimum Variance,PG,0.216534
2020-12-01,Minimum Variance,XOM,0.0
2020-12-01,Minimum Variance,CAT,0.0
2020-12-01,Minimum Variance,AMZN,0.197148
2020-12-01,Minimum Variance,BRK-B,0.183203
2020-12-01,Minimum Variance,LLY,0.03198
2020-12-01,Minimum Variance,NEE,0.0
2021-01-04,Minimum Variance,AAPL,0.0
2021-01-04,Minimum Variance,MSFT,0.0
2021-01-04,Minimum Variance,GOOGL,0.0
2021-01-04,Minimum Variance,JPM,0.0
2021-01-04,Minimum Variance,JNJ,0.358668
2021-01-04,Minimum Variance,PG,0.222439
2021-01-04,Minimum Variance,XOM,0.0
2021-01-04,Minimum Variance,CAT,0.0
2021-01-04,Minimum Variance,AMZN,0.198724
2021-01-04,Minimum Variance,BRK-B,0.187326
2021-01-04,Minimum Variance,LLY,0.032843
2021-01-04,Minimum Variance,NEE,0.0
2021-02-01,Minimum Variance,AAPL,0.0
2021-02-01,Minimum Variance,MSFT,0.0
2021-02-01,Minimum Variance,GOOGL,0.0
2021-02-01,Minimum Variance,JPM,0.0
2021-02-01,Minimum Variance,JNJ,0.349496
2021-02-01,Minimum Variance,PG,0.221945
2021-02-01,Minimum Variance,XOM,0.0
2021-02-01,Minimum Variance,CAT,0.0
2021-02-01,Minimum Variance,AMZN,0.197405
2021-02-01,Minimum Variance,BRK-B,0.196243
2021-02-01,Minimum Variance,LLY,0.034911
2021-02-01,Minimum Variance,NEE,0.0
2021-03-01,Minimum Variance,AAPL,0.0
2021-03-01,Minimum Variance,MSFT,0.0
2021-03-01,Minimum Variance,GOOGL,0.0
2021-03-01,Minimum Variance,JPM,0.0
2021-03-01,Minimum Variance,JNJ,0.343909
2021-03-01,Minimum Variance,PG,0.221964
2021-03-01,Minimum Variance,XOM,0.0
2021-03-01,Minimum Variance,CAT,0.0
