Date,Strategy,Portfolio Value,Normalized Value,Daily Return
2021-08-02,S&P 500,1747851.66,1.792221,-0.001843
2021-08-03,S&P 500,1762190.03,1.806924,0.008203
2021-08-04,S&P 500,1754026.89,1.798553,-0.004632
2021-08-05,S&P 500,1764560.6,1.809354,0.006005
2021-08-06,S&P 500,1767516.71,1.812385,0.001675
2021-08-09,S&P 500,1765855.41,1.810682,-0.00094
2021-08-10,S&P 500,1767608.33,1.812479,0.000993
2021-08-11,S&P 500,1769863.35,1.814792,0.001276
2021-08-12,S&P 500,1777201.88,1.822316,0.004146
2021-08-13,S&P 500,1780058.38,1.825245,0.001607
2021-08-16,S&P 500,1784723.65,1.830029,0.002621
2021-08-17,S&P 500,1772122.26,1.817108,-0.007061
2021-08-18,S&P 500,1753074.65,1.797577,-0.010748
2021-08-19,S&P 500,1755277.73,1.799836,0.001257
2021-08-20,S&P 500,1769568.44,1.814489,0.008142
2021-08-23,S&P 500,1784651.87,1.829956,0.008524
2021-08-24,S&P 500,1787321.24,1.832693,0.001496
2021-08-25,S&P 500,1791289.3,1.836762,0.00222
2021-08-26,S&P 500,1780855.19,1.826063,-0.005825
2021-08-27,S&P 500,1796540.31,1.842146,0.008808
2021-08-30,S&P 500,1804277.23,1.850079,0.004307
2021-08-31,S&P 500,1801843.05,1.847583,-0.001349
2021-09-01,S&P 500,1802404.67,1.848159,0.000312
2021-09-02,S&P 500,1807528.25,1.853413,0.002843
2021-09-03,S&P 500,1806922.68,1.852792,-0.000335
2021-09-07,S&P 500,1800787.13,1.8465,-0.003396
2021-09-08,S&P 500,1798412.68,1.844066,-0.001319
2021-09-09,S&P 500,1790129.89,1.835573,-0.004606
2021-09-10,S&P 500,1776305.47,1.821397,-0.007723
2021-09-13,S&P 500,1780349.21,1.825544,0.002276
2021-09-14,S&P 500,1770118.19,1.815053,-0.005747
2021-09-15,S&P 500,1785118.16,1.830434,0.008474
2021-09-16,S&P 500,1782349.19,1.827594,-0.001551
2021-09-17,S&P 500,1766110.44,1.810943,-0.009111
2021-09-20,S&P 500,1736126.63,1.780199,-0.016977
2021-09-21,S&P 500,1734716.27,1.778752,-0.000812
2021-09-22,S&P 500,1751230.1,1.795685,0.00952
2021-09-23,S&P 500,1772480.78,1.817476,0.012135
2021-09-24,S&P 500,1775070.39,1.820131,0.001461
2021-09-27,S&P 500,1770142.11,1.815077,-0.002776
2021-09-28,S&P 500,1734094.74,1.778115,-0.020364
2021-09-29,S&P 500,1736815.86,1.780905,0.001569
2021-09-30,S&P 500,1716130.88,1.759695,-0.01191
2021-10-01,S&P 500,1735851.76,1.779917,0.011491
2021-10-04,S&P 500,1713310.16,1.756803,-0.012986
2021-10-05,S&P 500,1731341.92,1.775292,0.010525
2021-10-06,S&P 500,1738445.26,1.782576,0.004103
2021-10-07,S&P 500,1752871.37,1.797368,0.008298
2021-10-08,S&P 500,1749516.86,1.793929,-0.001914
2021-10-11,S&P 500,1737505.09,1.781612,-0.006866
2021-10-12,S&P 500,1733305.92,1.777306,-0.002417
2021-10-13,S&P 500,1738544.86,1.782678,0.003023
2021-10-14,S&P 500,1768209.83,1.813096,0.017063
2021-10-15,S&P 500,1781401.05,1.826622,0.00746
2021-10-18,S&P 500,1787412.86,1.832787,0.003375
2021-10-19,S&P 500,1800627.81,1.846337,0.007393
2021-10-20,S&P 500,1807225.37,1.853102,0.003664
2021-10-21,S&P 500,1812639.58,1.858654,0.002996
2021-10-22,S&P 500,1810695.43,1.85666,-0.001073
2021-10-25,S&P 500,1819292.97,1.865476,0.004748
2021-10-26,S&P 500,1822603.71,1.868871,0.00182
2021-10-27,S&P 500,1813396.7,1.85943,-0.005052
2021-10-28,S&P 500,1831221.09,1.877707,0.009829
2021-10-29,S&P 500,1834790.75,1.881367,0.001949
2021-11-01,S&P 500,1838093.52,1.884754,0.0018
2021-11-02,S&P 500,1844858.37,1.89169,0.00368
2021-11-03,S&P 500,1856778.51,1.903913,0.006461
2021-11-04,S&P 500,1864543.45,1.911875,0.004182
2021-11-05,S&P 500,1871503.42,1.919012,0.003733
2021-11-08,S&P 500,1873164.92,1.920716,0.000888
2021-11-09,S&P 500,1866611.13,1.913995,-0.003499
2021-11-10,S&P 500,1851256.72,1.898251,-0.008226
2021-11-11,S&P 500,1852276.65,1.899297,0.000551
2021-11-12,S&P 500,1865655.01,1.913015,0.007223
2021-11-15,S&P 500,1865634.97,1.912994,-1.1e-05
2021-11-16,S&P 500,1872846.08,1.920389,0.003865
2021-11-17,S&P 500,1867973.64,1.915392,-0.002602
2021-11-18,S&P 500,1874296.32,1.921876,0.003385
2021-11-19,S&P 500,1871674.8,1.919188,-0.001399
2021-11-22,S&P 500,1865690.8,1.913052,-0.003197
2021-11-23,S&P 500,1868782.5,1.916222,0.001657
2021-11-24,S&P 500,1873069.21,1.920617,0.002294
2021-11-26,S&P 500,1830504.04,1.876972,-0.022725
2021-11-29,S&P 500,1854667.06,1.901748,0.0132
2021-11-30,S&P 500,1819500.14,1.865688,-0.018961
2021-12-01,S&P 500,1798002.41,1.843645,-0.011815
2021-12-02,S&P 500,1823524.04,1.869815,0.014194
2021-12-03,S&P 500,1808117.88,1.854017,-0.008449
2021-12-06,S&P 500,1829328.68,1.875767,0.011731
2021-12-07,S&P 500,1867208.74,1.914608,0.020707
2021-12-08,S&P 500,1872969.61,1.920515,0.003085
2021-12-09,S&P 500,1859519.66,1.906724,-0.007181
2021-12-10,S&P 500,1877276.35,1.924931,0.009549
2021-12-13,S&P 500,1860125.24,1.907345,-0.009136
2021-12-14,S&P 500,1846228.85,1.893096,-0.007471
2021-12-15,S&P 500,1876411.85,1.924045,0.016348
2021-12-16,S&P 500,1860005.6,1.907222,-0.008743
2021-12-17,S&P 500,1840870.46,1.887601,-0.010288
2021-12-20,S&P 500,1819906.52,1.866105,-0.011388
2021-12-21,S&P 500,1852260.7,1.899281,0.017778
2021-12-22,S&P 500,1871117.08,1.918616,0.01018
2021-12-23,S&P 500,1882762.35,1.930557,0.006224
